2019/01/28 15:14:35.019 14272,Info,App Init,SetupTrace,Application Starting 2.4.0.844-g25bd63cc-dirty
2019/01/28 15:14:35.020 14272,Info,App Init,AppInit,Create Plugins
2019/01/28 15:14:35.021 14272,Info,Plugins,CPlugins::CreatePlugins,Start
2019/01/28 15:14:35.021 14272,Error,GFX Plugin,LoadPlugin,Failed to load D:\Project Z\Projects\Majora's Mask - PC Edition\LOZ-P64\project64\Bin\Release\Plugin\GFX\Project64-Video_d.dll
2019/01/28 15:14:36.101 14272,Info,RSP Plugin,CPlugins::CreatePlugins,EnableDebugging starting
2019/01/28 15:14:36.101 14272,Info,RSP Plugin,CPlugins::CreatePlugins,EnableDebugging done
2019/01/28 15:14:36.101 14272,Info,Plugins,CPlugins::CreatePlugins,Done
2019/01/28 15:14:37.553 14272,Info,Plugins,CPlugins::CreatePlugins,Start
2019/01/28 15:14:37.554 14272,Error,GFX Plugin,LoadPlugin,Failed to load D:\Project Z\Projects\Majora's Mask - PC Edition\LOZ-P64\project64\Bin\Release\Plugin\GFX\Project64-Video_d.dll
2019/01/28 15:14:37.554 14272,Info,RSP Plugin,CPlugins::CreatePlugins,EnableDebugging starting
2019/01/28 15:14:37.554 14272,Info,RSP Plugin,CPlugins::CreatePlugins,EnableDebugging done
2019/01/28 15:14:37.554 14272,Info,Plugins,CPlugins::CreatePlugins,Done
2019/01/28 15:14:37.554 14272,Error,N64 System,CN64System::CN64System,g_Plugins->Initiate Failed
2019/01/28 15:14:37.564 14272,Info,Plugins,CPlugins::CreatePlugins,Start
2019/01/28 15:14:37.565 14272,Error,GFX Plugin,LoadPlugin,Failed to load D:\Project Z\Projects\Majora's Mask - PC Edition\LOZ-P64\project64\Bin\Release\Plugin\GFX\Project64-Video_d.dll
2019/01/28 15:14:37.565 14272,Info,RSP Plugin,CPlugins::CreatePlugins,EnableDebugging starting
2019/01/28 15:14:37.565 14272,Info,RSP Plugin,CPlugins::CreatePlugins,EnableDebugging done
2019/01/28 15:14:37.565 14272,Info,Plugins,CPlugins::CreatePlugins,Done
2019/01/28 15:14:37.565 14272,Warning,N64 System,CN64System::StartEmulation2,can not run, plugins not initlized
2019/01/28 15:14:37.575 14272,Error,User Interface,CNotificationImp::DisplayError,Cannot open a ROM because plugins have not successfully initialized.
2019/01/28 15:14:56.923 14272,Info,Plugins,CPlugins::CreatePlugins,Start
2019/01/28 15:14:57.002 14272,Info,RSP Plugin,CPlugins::CreatePlugins,EnableDebugging starting
2019/01/28 15:14:57.002 14272,Info,RSP Plugin,CPlugins::CreatePlugins,EnableDebugging done
2019/01/28 15:14:57.002 14272,Info,Plugins,CPlugins::CreatePlugins,Done
2019/01/28 15:15:04.650 14272,Info,Plugins,CPlugins::CreatePlugins,Start
2019/01/28 15:15:04.651 14272,Info,RSP Plugin,CPlugins::CreatePlugins,EnableDebugging starting
2019/01/28 15:15:04.652 14272,Info,RSP Plugin,CPlugins::CreatePlugins,EnableDebugging done
2019/01/28 15:15:04.653 14272,Info,Plugins,CPlugins::CreatePlugins,Done
2019/01/28 15:15:05.219 14272,Info,Plugins,CPlugins::CreatePlugins,Start
2019/01/28 15:15:05.472 14272,Info,RSP Plugin,CPlugins::CreatePlugins,EnableDebugging starting
2019/01/28 15:15:05.472 14272,Info,RSP Plugin,CPlugins::CreatePlugins,EnableDebugging done
2019/01/28 15:15:05.472 14272,Info,Plugins,CPlugins::CreatePlugins,Done
2019/01/28 15:15:05.481 14272,Info,Plugins,CPlugins::CreatePlugins,Start
2019/01/28 15:15:05.481 14272,Info,RSP Plugin,CPlugins::CreatePlugins,EnableDebugging starting
2019/01/28 15:15:05.481 14272,Info,RSP Plugin,CPlugins::CreatePlugins,EnableDebugging done
2019/01/28 15:15:05.481 14272,Info,Plugins,CPlugins::CreatePlugins,Done
2019/01/28 15:15:05.904 14272,Info,Plugins,CPlugins::CreatePlugins,Start
2019/01/28 15:15:05.904 14272,Info,RSP Plugin,CPlugins::CreatePlugins,EnableDebugging starting
2019/01/28 15:15:05.904 14272,Info,RSP Plugin,CPlugins::CreatePlugins,EnableDebugging done
2019/01/28 15:15:05.904 14272,Info,Plugins,CPlugins::CreatePlugins,Done
2019/01/28 15:15:07.767 15288,Info,Recompiler,CRecompiler::RecompilerMain_Lookup_validate_TLB,Start
2019/01/28 15:15:07.823 15288,Notice,Exception Handler,CMipsMemoryVM::MemoryFilter,Success!
2019/01/28 15:15:07.824 15288,Notice,Exception Handler,CMipsMemoryVM::MemoryFilter,Success!
2019/01/28 15:15:07.829 15288,Info,Recompiler,CRecompiler::ClearRecompCode_Phys,Reseting Jump Table, Addr: 80000  len: 1048576
2019/01/28 15:15:07.842 15288,Notice,Exception Handler,CMipsMemoryVM::MemoryFilter,Success!
2019/01/28 15:16:13.215 14272,Info,GFX Plugin,CPlugins::DestroyGfxPlugin,deleting
2019/01/28 15:16:13.215 14272,Info,GFX Plugin,CPlugins::DestroyGfxPlugin,m_Gfx deleted
2019/01/28 15:16:13.216 14272,Info,GFX Plugin,CPlugins::DestroyGfxPlugin,Done
2019/01/28 15:16:13.302 14272,Info,GFX Plugin,CPlugins::DestroyGfxPlugin,deleting
2019/01/28 15:16:13.302 14272,Info,GFX Plugin,CPlugins::DestroyGfxPlugin,m_Gfx deleted
2019/01/28 15:16:13.303 14272,Info,GFX Plugin,CPlugins::DestroyGfxPlugin,Done
